model_name,classroom,floor
Acer X1228H,0.01,Planta Baja
BenQ MW535,0.02,Planta Baja
ViewSonic PX701-4K,0.03,Planta Baja
Optoma EH412,0.04,Planta Baja
BenQ HT3550,0.05,Planta Baja
LG PF50KA,0.06,Planta Baja
BenQ MW535,0.07,Planta Baja
Epson EB-S41,0.08,Planta Baja
ViewSonic PX701-4K,0.09,Planta Baja
Optoma EH412,0.10,Planta Baja
BenQ HT3550,0.11,Planta Baja
LG PF50KA,0.12,Planta Baja
Epson EB-S41,0.13,Planta Baja
BenQ MW535,0.14,Planta Baja
ViewSonic PX701-4K,0.15,Planta Baja
Optoma EH412,0.16,Planta Baja
BenQ HT3550,0.17,Planta Baja
LG PF50KA,0.18,Planta Baja
Epson EB-S41,0.19,Planta Baja
BenQ MW535,0.20,Planta Baja
ViewSonic PX701-4K,0.21,Planta Baja
Optoma EH412,0.22,Planta Baja
BenQ HT3550,0.23,Planta Baja
LG PF50KA,0.24,Planta Baja
Epson EB-S41,0.25,Planta Baja
BenQ MW535,0.26,Planta Baja
ViewSonic PX701-4K,0.27,Planta Baja
Optoma EH412,0.28,Planta Baja
BenQ HT3550,0.29,Planta Baja
LG PF50KA,0.30,Planta Baja
Epson EB-S41,1.01,Planta 1
BenQ MW535,1.02,Planta 1
ViewSonic PX701-4K,1.03,Planta 1
Optoma EH412,1.04,Planta 1
BenQ HT3550,1.05,Planta 1
LG PF50KA,1.06,Planta 1
Epson EB-S41,1.07,Planta 1
BenQ MW535,1.08,Planta 1
ViewSonic PX701-4K,1.09,Planta 1
Optoma EH412,1.10,Planta 1
BenQ HT3550,1.11,Planta 1
LG PF50KA,1.12,Planta 1
Epson EB-S41,1.13,Planta 1
BenQ MW535,1.14,Planta 1
ViewSonic PX701-4K,1.15,Planta 1
Optoma EH412,1.16,Planta 1
BenQ HT3550,1.17,Planta 1
LG PF50KA,1.18,Planta 1
Epson EB-S41,2.01,Planta 2
BenQ MW535,2.02,Planta 2
ViewSonic PX701-4K,2.03,Planta 2
Optoma EH412,2.04,Planta 2
BenQ HT3550,2.05,Planta 2
LG PF50KA,2.06,Planta 2
Epson EB-S41,2.07,Planta 2
BenQ MW535,2.08,Planta 2
ViewSonic PX701-4K,2.09,Planta 2
Optoma EH412,2.10,Planta 2
BenQ HT3550,2.11,Planta 2
LG PF50KA,2.12,Planta 2
Epson EB-S41,2.13,Planta 2
BenQ MW535,2.14,Planta 2
ViewSonic PX701-4K,2.15,Planta 2
Optoma EH412,2.16,Planta 2
BenQ HT3550,2.17,Planta 2
LG PF50KA,2.18,Planta 2
Epson EB-S41,3.01,Planta 3
BenQ MW535,3.02,Planta 3
ViewSonic PX701-4K,3.03,Planta 3
Optoma EH412,3.04,Planta 3
BenQ HT3550,3.05,Planta 3
LG PF50KA,3.06,Planta 3
Epson EB-S41,3.07,Planta 3
BenQ MW535,3.08,Planta 3
ViewSonic PX701-4K,3.09,Planta 3
Optoma EH412,3.10,Planta 3
BenQ HT3550,3.11,Planta 3
LG PF50KA,3.12,Planta 3
Epson EB-S41,3.13,Planta 3
BenQ MW535,3.14,Planta 3
ViewSonic PX701-4K,3.15,Planta 3
Optoma EH412,3.16,Planta 3
BenQ HT3550,3.17,Planta 3
LG PF50KA,3.18,Planta 3
Epson EB-S41,4.01,Planta 4
BenQ MW535,4.02,Planta 4
ViewSonic PX701-4K,4.03,Planta 4
Optoma EH412,4.04,Planta 4
BenQ HT3550,4.05,Planta 4
LG PF50KA,4.06,Planta 4
Epson EB-S41,4.07,Planta 4
BenQ MW535,4.08,Planta 4
ViewSonic PX701-4K,4.09,Planta 4
Optoma EH412,4.10,Planta 4
BenQ HT3550,4.11,Planta 4
LG PF50KA,4.12,Planta 4
Epson EB-S41,4.13,Planta 4
BenQ MW535,4.14,Planta 4
ViewSonic PX701-4K,4.15,Planta 4
Optoma EH412,4.16,Planta 4
BenQ HT3550,4.17,Planta 4
LG PF50KA,4.18,Planta 4
Epson EB-S41,5.01,Planta 5
BenQ MW535,5.02,Planta 5
ViewSonic PX701-4K,5.03,Planta 5
Optoma EH412,5.04,Planta 5
BenQ HT3550,5.05,Planta 5
LG PF50KA,5.06,Planta 5
